ssfe-ttt,ssfe-svd,s_rank
49.02901611687048,38.20920205192433,4.54777401004572
1203.0749574454048,16.281718670314156,6.815453415623878
797.1998578008652,81.11410435824631,7.315324677578019
538.2637524718969,56.26402953211483,7.012732505020487
2326.7053114761056,138.04750283476625,8.794014841613585
7.609520173866242,1.127643492971405,5.88375958919574
3.3415238276288783,4.817908226492188,3.370353227347862
6.42581169449176,2.481105904332771,5.5352631499014695
6.459569507321999,2.8566292472243586,4.440778551306247
6.942023679196392,2.4668643808820376,9.580071208076813
