ssfe-ttt,ssfe-svd,rcond
49.02901611687048,38.20920205192433,7.871618100125595e-17
1203.0749574454048,16.281718670314156,1.897118946916446e-17
797.1998578008652,81.11410435824631,7.345150984429843e-17
538.2637524718969,56.26402953211483,7.94096848060048e-17
2326.7053114761056,138.04750283476625,6.673059006273295e-17
7.609520173866242,1.127643492971405,7.331977017637561e-17
3.3415238276288783,4.817908226492188,8.422650186710187e-17
6.42581169449176,2.481105904332771,7.734709799288012e-17
6.459569507321999,2.8566292472243586,8.306968324174544e-17
6.942023679196392,2.4668643808820376,6.275215499508455e-17
