ssfe-ttt,ssfe-svd,r_coherence
45.61323408442467,15.835717299328909,0.3659206996595439
168.15835579420255,16.234868840348092,0.2811634670359527
222.7175871777552,7.990197516789858,0.24394013431985268
4.461948068627432,7.057305541706379,0.20882114953025782
158.29914958123004,3.667450949076217,0.27770711721127267
1.2351042527486544,1.127643492971405,0.35120113976222495
3.1438781791126,3.0180578600513965,0.4111492664764285
2.618496139492446,2.481105904332771,0.3472795889718383
2.000030240844094,2.2940417622744307,0.37293864967478874
1.5543487542859264,2.4345002376648948,0.3107026569635691
