x_pos,y_pos
111.11111111111111,25.862068965517242
1666.6666666666667,25.862068965517242
1000.0,25.862068965517242
555.5555555555555,25.862068965517242
111.11111111111111,336.2068965517241
1222.2222222222222,25.862068965517242
777.7777777777778,25.862068965517242
1444.4444444444446,25.862068965517242
111.11111111111111,232.75862068965517
111.11111111111111,129.31034482758622
1888.888888888889,25.862068965517242
333.33333333333337,25.862068965517242
111.11111111111111,387.9310344827586
111.11111111111111,77.58620689655173
111.11111111111111,439.65517241379314
111.11111111111111,181.0344827586207
111.11111111111111,284.48275862068965
