ssfe-ttt,ssfe-svd,rcond
23.066383131640297,19.835710711185286,9.033252966547906e-17
9336.245197026452,14.720325723608697,1.3784191406179031e-17
718.0023777897067,42.65701308907247,7.472372664366424e-17
54.43538772876449,13.755615881011497,7.440172684975169e-17
1587.1486797609152,5.09692806894866,4.760383714814809e-17
2.0026704272430584,2.2005097382666023,3.7096568138820495e-17
3.9597980131249604,4.204205631916324,9.261711804249472e-17
5.02167945612049,1.880054035417595,4.0343921509088597e-17
3.930100126089717,1.55532436903078,9.002552191004448e-17
1.7825987482888648,1.5566413681629188,4.702477305990616e-17
