ssfe-ttt,ssfe-svd,resolution
45.61323408442467,15.835717299328909,3.081373177239298
1.2351042527486544,1.127643492971405,11.641766920014543
168.15835579420255,16.234868840348092,4.68532664968406
40.30260314541862,4.066764385431378,8.13462113080926
222.7175871777552,7.990197516789858,8.662533803675151
2.618496139492446,2.481105904332771,2.900495702190765
3.1438781791126,3.0180578600513965,3.0229786384272237
2.000030240844094,2.2940417622744307,3.050212549304166
285.00048791867266,5.038114554866695,4.685326649684019
1.5543487542859264,2.4345002376648948,10.273643696405273
