ssfe-ttt,ssfe-svd,r_coherence
23.066383131640297,19.835710711185286,0.3987189460628642
9336.245197026452,14.720325723608697,0.285183186433023
718.0023777897067,42.65701308907247,0.2510170850568052
54.43538772876449,13.755615881011497,0.21693788549168352
1587.1486797609152,5.09692806894866,0.2787691053045186
2.0026704272430584,2.2005097382666023,0.3532451126379818
3.9597980131249604,4.204205631916324,0.4432590447679824
5.02167945612049,1.880054035417595,0.36807831573735145
3.930100126089717,1.55532436903078,0.3928557704446354
1.7825987482888648,1.5566413681629188,0.30996585048509245
