x_pos,y_pos
777.7777777777778,24.193548387096776
1888.888888888889,24.193548387096776
1000.0,362.90322580645164
1000.0,169.35483870967744
1000.0,459.6774193548387
333.33333333333337,24.193548387096776
1000.0,120.96774193548387
1444.4444444444446,24.193548387096776
1000.0,411.2903225806452
1000.0,314.5161290322581
555.5555555555555,24.193548387096776
111.11111111111111,24.193548387096776
1666.6666666666667,24.193548387096776
1000.0,72.58064516129033
1000.0,217.74193548387098
1000.0,24.193548387096776
1222.2222222222222,24.193548387096776
1000.0,508.0645161290323
